timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1537690889860,83,get_login,200,OK,login_make_delete_logout 1-1,text,true,,1371,133,1,1,http://eds_university.eleks.com/login,83,0,39
1537690890048,85,get_login,200,OK,login_make_delete_logout 1-3,text,true,,1371,133,3,3,http://eds_university.eleks.com/login,85,0,39
1537690894061,298,post_login,200,OK,login_make_delete_logout 1-1,text,true,,461,278,10,10,http://193.105.219.194:8080/api/gds-release/v1/auth/login,298,0,40
1537690896138,295,post_login,200,OK,login_make_delete_logout 1-3,text,true,,461,278,10,10,http://193.105.219.194:8080/api/gds-release/v1/auth/login,295,0,37
1537690897671,89,get_login,200,OK,login_make_delete_logout 1-2,text,true,,1371,133,10,10,http://eds_university.eleks.com/login,89,0,43
1537690897671,95,get_login,200,OK,login_make_delete_logout 1-6,text,true,,1371,133,10,10,http://eds_university.eleks.com/login,95,0,46
1537690897673,94,get_login,200,OK,login_make_delete_logout 1-7,text,true,,1371,133,10,10,http://eds_university.eleks.com/login,94,0,45
1537690896435,1642,get_product_family,200,OK,login_make_delete_logout 1-3,text,true,,8609,247,10,10,http://193.105.219.194:8080/api/gds-release/v1/product-family,1642,0,0
1537690897767,312,post_login,200,OK,login_make_delete_logout 1-6,text,true,,461,278,10,10,http://193.105.219.194:8080/api/gds-release/v1/auth/login,312,0,39
1537690898371,443,get_product_family,200,OK,login_make_delete_logout 1-1,text,true,,8609,247,10,10,http://193.105.219.194:8080/api/gds-release/v1/product-family,443,0,39
1537690898818,96,get_login,200,OK,login_make_delete_logout 1-5,text,true,,1371,133,10,10,http://eds_university.eleks.com/login,96,0,50
1537690898915,396,post_login,200,OK,login_make_delete_logout 1-5,text,true,,461,278,10,10,http://193.105.219.194:8080/api/gds-release/v1/auth/login,396,0,57
1537690899312,85,get_product_family,200,OK,login_make_delete_logout 1-5,text,true,,8609,247,10,10,http://193.105.219.194:8080/api/gds-release/v1/product-family,85,0,0
1537690899313,150,get_login,200,OK,login_make_delete_logout 1-9,text,true,,1371,133,10,10,http://eds_university.eleks.com/login,150,0,63
1537690899465,243,post_login,200,OK,login_make_delete_logout 1-9,text,true,,461,278,10,10,http://193.105.219.194:8080/api/gds-release/v1/auth/login,243,0,70
1537690899710,110,get_product_family,200,OK,login_make_delete_logout 1-9,text,true,,8609,247,10,10,http://193.105.219.194:8080/api/gds-release/v1/product-family,110,0,0
1537690900372,177,get_login,200,OK,login_make_delete_logout 1-8,text,true,,1371,133,10,10,http://eds_university.eleks.com/login,177,0,106
1537690900372,356,post_login,200,OK,login_make_delete_logout 1-7,text,true,,461,278,10,10,http://193.105.219.194:8080/api/gds-release/v1/auth/login,356,0,96
1537690900729,389,get_product_family,200,OK,login_make_delete_logout 1-7,text,true,,8609,247,10,10,http://193.105.219.194:8080/api/gds-release/v1/product-family,389,0,0
1537690900730,397,get_login,200,OK,login_make_delete_logout 1-10,text,true,,1371,133,10,10,http://eds_university.eleks.com/login,397,0,48
1537690901965,100,get_login,200,OK,login_make_delete_logout 1-4,text,true,,1371,133,10,10,http://eds_university.eleks.com/login,100,0,52
1537690900372,3058,post_login,200,OK,login_make_delete_logout 1-2,text,true,,461,278,10,10,http://193.105.219.194:8080/api/gds-release/v1/auth/login,3058,0,1066
1537690901793,1637,post_login,200,OK,login_make_delete_logout 1-10,text,true,,461,278,10,10,http://193.105.219.194:8080/api/gds-release/v1/auth/login,1637,0,43
1537690901465,1966,post_login,200,OK,login_make_delete_logout 1-8,text,true,,461,278,10,10,http://193.105.219.194:8080/api/gds-release/v1/auth/login,1966,0,52
1537690902070,1628,post_login,200,OK,login_make_delete_logout 1-4,text,true,,461,278,10,10,http://193.105.219.194:8080/api/gds-release/v1/auth/login,1627,0,44
1537690901464,2263,get_product_family,200,OK,login_make_delete_logout 1-6,text,true,,8609,247,10,10,http://193.105.219.194:8080/api/gds-release/v1/product-family,2263,0,43
1537690903432,997,get_product_family,200,OK,login_make_delete_logout 1-10,text,true,,8609,247,10,10,http://193.105.219.194:8080/api/gds-release/v1/product-family,703,0,0
1537690903433,1045,get_product_family,200,OK,login_make_delete_logout 1-8,text,true,,8609,247,10,10,http://193.105.219.194:8080/api/gds-release/v1/product-family,702,0,0
1537690903432,1155,get_product_family,200,OK,login_make_delete_logout 1-2,text,true,,8609,247,10,10,http://193.105.219.194:8080/api/gds-release/v1/product-family,1155,0,98
1537690903699,1368,get_product_family,200,OK,login_make_delete_logout 1-4,text,true,,8609,247,10,10,http://193.105.219.194:8080/api/gds-release/v1/product-family,1311,0,0
1537690898078,26752,make_product,200,OK,login_make_delete_logout 1-3,text,true,,1104888,512,10,10,http://193.105.219.194:8080/api/gds-release/v1/products,714,0,0
1537690899822,34357,make_product,200,OK,login_make_delete_logout 1-9,text,true,,1104888,512,10,10,http://193.105.219.194:8080/api/gds-release/v1/products,447,0,0
1537690898816,39003,make_product,200,OK,login_make_delete_logout 1-1,text,true,,1104888,512,10,10,http://193.105.219.194:8080/api/gds-release/v1/products,423,0,0
1537690901105,40938,make_product,200,OK,login_make_delete_logout 1-5,text,true,,1104888,512,10,10,http://193.105.219.194:8080/api/gds-release/v1/products,866,0,43
1537690904432,38568,make_product,200,OK,login_make_delete_logout 1-10,text,true,,1104888,512,10,10,http://193.105.219.194:8080/api/gds-release/v1/products,2019,0,1048
1537690901792,44737,make_product,200,OK,login_make_delete_logout 1-7,text,true,,1104888,512,10,10,http://193.105.219.194:8080/api/gds-release/v1/products,1067,0,0
1537690905071,47330,make_product,200,OK,login_make_delete_logout 1-4,text,true,,1104888,512,10,10,http://193.105.219.194:8080/api/gds-release/v1/products,687,0,47
1537690904480,49258,make_product,200,OK,login_make_delete_logout 1-8,text,true,,1104888,512,10,10,http://193.105.219.194:8080/api/gds-release/v1/products,2038,0,1058
1537690904589,49346,make_product,200,OK,login_make_delete_logout 1-2,text,true,,1104888,512,10,10,http://193.105.219.194:8080/api/gds-release/v1/products,608,0,0
